# Cross-Library Predicate Mapping: SystemE ↔ GeometryProver
# For use in: "Formalizing Euclidean Geometry: A Cross-Library Comparison"
#
# Columns:
#   Category       — semantic category of the predicate
#   SystemE        — SystemE library expression
#   GeometryProver — GeometryProver library expression
#   Canonical      — normalized canonical form (used in evaluation)
#   Notes          — remarks on the mapping

Category,SystemE,GeometryProver,Canonical,Notes
Diameter,——,"IsDiameterOf (Segment A B) (Circle O) | Diameter (Segment A B) (Circle O)",——,"Chord through center"
Circumcircle,——,"IsCircumcircleOf (Circle O) (Triangle A B C)",——,"Circle passing through all 3 vertices"
Incircle,——,"IsIncircleOf (Circle O) (Triangle A B C)",——,"Circle tangent to all 3 sides"
Orthocenter,——,"IsOrthocenterOf (Point H) (Triangle A B C)",——,"Intersection of altitudes"
Incenter,——,"IsIncenterOf (Point I) (Triangle A B C)",——,"Intersection of angle bisectors"
Circumcenter,——,"IsCircumcenterOf (Point O) (Triangle A B C)",——,"Intersection of perpendicular bisectors"
Centroid,——,"IsCentroidOf (Point G) (Triangle A B C)",——,"Intersection of medians"
Reflection,——,"Reflection (Point A') (Point A) (Line L)",——,"A' is reflection of A across L"
Rotation,——,"Rotation (Point A') (Point A) (Point Center) angle",——,"A' is rotation of A around Center by angle"
Excircle,——,"Excircle (Point I) (Triangle A B C) (Point V)",——,"Circle tangent to one side and extensions of the other two"
Regular,——,"Regular (Polygon V1 V2 ... Vn)",——,"Equiangular and equilateral polygon"
Area,——,"AreaOf (Triangle A B C)","(dist A B * dist C D) / 2","Generator-specific formula"
Perimeter,——,"PerimeterOf (Triangle A B C)",——,"Sum of side lengths"
Length,——,"LengthOf (Segment A B)","dist A B","Generator-specific"
Measure,,"MeasureOf (Angle A B C)","angle A B C","Generator-specific"
Inequality,"A ≠ B","A ≠ B","A ≠ B","Direct mapping"
Inequality,——,"A = B","A = B","Direct mapping"
Arithmetic,——,"Add | Sub | Mul | Div | Pow",——,"Generic arithmetic in GP"
Trig,——,"SinOf | CosOf | TanOf | Sin | Cos | Tan",——,"Trigonometric functions in GP"
Comparison,——,"GreaterThan | LessThan | GreaterThanEqualTo | LessThanEqualTo",——,"Comparison operators in GP"
Exists,——,"Exists (ConvexQuadrilateral ...) (...)",——,"Existential quantification in GP goals"
